statement_id,statement_text,is_true,fact_check_true,fact_check_false
S030,US Is the Most Dangerous Place on Earth for Women,FALSE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S031,About a Quarter of Large US Newspapers Laid off Staff in 2018,TRUE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S032,Americans Feel Generally Positive about Their Own Finances,TRUE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S033,Attitudes Toward EU Are Largely Positive Both Within Europe and Outside It,TRUE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S034,East Germany Has Narrowed Economic Gap with West Germany Since Fall of Communism But Still Lags,TRUE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S035,Experts Optimistic About the Next 50 Years of Digital Life,TRUE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S036,Germany Welcomes Tesla's Berlin Move as Boost to E-Car Shift,TRUE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S037,Hawaii May Subpoena Airbnb for Tax Records of Rental Hosts,TRUE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S038,Hyatt Will Remove Small Bottles from Hotel Bathrooms by 2021,TRUE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S039,In Emerging Economies Smartphone and Social Media Users Have Broader Social Networks,TRUE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S040,In US 54% Say Teachers Unprepared to Handle Discipline,TRUE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S041,Is US Fertility at An All-time Low? Two of Three Measures Point to Yes,TRUE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S042,Japan's Ageing 'Hidden Christians' Fear They May Be Their Religion's Last Generation,TRUE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S043,Latinos Are More Likely to Believe in the American Dream But Most Say It Is Hard to Achieve,TRUE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S044,Minnesota School District May Monitor Students’ Online Posts,TRUE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S045,Morocco’s King Appoints Committee Chief to Fight Poverty and Inequality,TRUE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S046,Most Americans Say Science Has Brought Benefits to Society and Expect More to Come,TRUE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S047,Most Distant World Ever Explored Gets New Name: Arrokoth,TRUE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S048,Norway's Oil Decline Accelerates,TRUE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S049,One-in-Three Worldwide Lack Confidence in NGOs,TRUE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S050,One-in-Five Americans Now Listen to Audiobooks,TRUE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S051,One-in-Five US Newsroom Employees Live in New York Los Angeles or DC,TRUE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S052,Online Grocery Shopping Still Rare in US,TRUE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S053,Students at Smaller Colleges More Likely to Say Faculty Care,TRUE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S054,Taiwan Seeks to Join Fight Against Global Warming,TRUE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S055,Two in Three Americans Now Support Legalizing Marijuana,TRUE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S056,United Nations Gets Mostly Positive Marks from People Around the World,TRUE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S057,Universal Basic Income Favored in Canada UK But Not in US,TRUE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S058,US Hispanic Population Reached New High in 2018 But Growth Has Slowed,TRUE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S059,US Panel Backs Wider Use of Fish Oil to Prevent Heart Attack,TRUE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
S060,Volkswagen to Invest 60 Billion Euros in E-mobility Digital Tech by 2024,TRUE,Reliable sources say this claim is true.,Reliable sources say this claim is false.
